Country,Digital_by_Design_2019,Data_driven_2019,Gov_as_Platform_2019,Open_by_Default_2019,User_driven_2019,Proactiveness_2019,Composite_2019,Rank_2019,Digital_by_Design_2023,Data_driven_2023,Gov_as_Platform_2023,Open_by_Default_2023,User_driven_2023,Proactiveness_2023,Composite_2023,Rank_2023
KOR,0.82,0.68,0.89,0.9,0.67,0.5,0.742,1,0.971,1,0.913,0.882,0.909,0.934,0.935,1
GBR,0.67,0.69,0.9,0.85,0.78,0.51,0.736,2,0.914,0.598,0.696,0.667,0.925,0.853,0.775,3
COL,0.75,0.59,0.79,0.67,0.8,0.78,0.729,3,0.814,0.794,0.654,0.731,0.775,0.647,0.736,7
DNK,0.68,0.69,0.57,0.74,0.8,0.43,0.652,4,0.851,0.833,0.896,0.783,0.715,0.788,0.811,2
JPN,0.78,0.55,0.68,0.64,0.67,0.57,0.645,5,0.609,0.525,0.505,0.389,0.44,0.431,0.483,31
CAN,0.61,0.56,0.82,0.63,0.66,0.49,0.629,6,0.829,0.64,0.436,0.727,0.749,0.547,0.655,10
ESP,0.69,0.6,0.69,0.59,0.55,0.62,0.621,7,0.697,0.529,0.616,0.647,0.508,0.598,0.599,15
ISR,0.6,0.49,0.77,0.68,0.5,0.58,0.604,8,0.536,0.472,0.573,0.542,0.669,0.179,0.495,29
URY,0.65,0.56,0.54,0.6,0.65,0.55,0.602,9,NA,NA,NA,NA,NA,NA,NA,NA
PRT,0.63,0.5,0.85,0.55,0.43,0.52,0.58,10,0.77,0.555,0.593,0.493,0.809,0.618,0.64,11
FRA,0.58,0.51,0.5,0.67,0.55,0.62,0.573,11,0.677,0.816,0.577,0.761,0.595,0.561,0.665,9
NZL,0.52,0.42,0.73,0.77,0.64,0.31,0.564,12,0.588,0.549,0.437,0.297,0.519,0.61,0.5,27
NOR,0.64,0.41,0.65,0.65,0.52,0.42,0.55,13,0.758,0.851,0.818,0.588,0.853,0.75,0.77,4
LUX,0.63,0.38,0.46,0.77,0.54,0.45,0.538,14,0.672,0.476,0.675,0.411,0.534,0.637,0.567,21
ITA,0.5,0.47,0.4,0.67,0.55,0.6,0.534,15,0.684,0.534,0.59,0.549,0.65,0.461,0.578,19
BRA,0.54,0.47,0.48,0.61,0.54,0.42,0.519,16,NA,NA,NA,NA,NA,NA,NA,NA
SVN,0.54,0.36,0.64,0.72,0.56,0.25,0.513,17,0.559,0.489,0.621,0.465,0.328,0.527,0.498,28
EST,0.52,0.47,0.44,0.65,0.39,0.39,0.478,18,0.692,0.949,0.705,0.623,0.614,0.869,0.742,6
LVA,0.48,0.35,0.38,0.66,0.32,0.66,0.474,19,0.685,0.654,0.678,0.629,0.551,0.385,0.597,16
AUT,0.63,0.34,0.24,0.51,0.46,0.54,0.452,20,0.766,0.38,0.773,0.416,0.483,0.465,0.547,23
NLD,0.64,0.39,0.48,0.64,0.36,0.18,0.45,21,0.679,0.513,0.579,0.521,0.442,0.639,0.562,22
CZE,0.51,0.29,0.48,0.78,0.36,0.18,0.434,22,0.613,0.679,0.631,0.642,0.571,0.421,0.593,17
IRL,0.42,0.37,0.55,0.63,0.29,0.22,0.411,23,0.844,0.861,0.632,0.56,0.684,0.701,0.714,8
CHL,0.38,0.26,0.46,0.59,0.42,0.36,0.411,24,0.407,0.469,0.374,0.25,0.383,0.504,0.398,32
BEL,0.43,0.3,0.48,0.53,0.29,0.4,0.406,25,0.652,0.543,0.664,0.347,0.58,0.448,0.539,24
DEU,0.5,0.27,0.37,0.55,0.31,0.41,0.398,26,NA,NA,NA,NA,NA,NA,NA,NA
LTU,0.43,0.5,0.34,0.51,0.26,0.34,0.397,27,0.59,0.753,0.651,0.561,0.619,0.477,0.608,14
FIN,0.42,0.23,0.21,0.74,0.33,0.2,0.356,28,0.721,0.679,0.676,0.428,0.667,0.663,0.639,12
GRC,0.3,0.35,0.39,0.69,0.21,0.13,0.347,29,NA,NA,NA,NA,NA,NA,NA,NA
PAN,0.35,0.35,0.53,0.45,0.09,0.28,0.343,30,NA,NA,NA,NA,NA,NA,NA,NA
ARG,0.43,0.39,0.28,0.58,0.2,0.18,0.342,31,NA,NA,NA,NA,NA,NA,NA,NA
ISL,0.31,0.29,0.29,0.28,0.23,0.29,0.282,32,0.676,0.597,0.659,0.503,0.668,0.713,0.636,13
SWE,0.28,0.35,0.33,0.36,0.1,0.11,0.257,33,0.486,0.746,0.489,0.512,0.436,0.478,0.525,26
AUS,NA,NA,NA,NA,NA,NA,NA,NA,0.973,0.774,0.738,0.466,0.833,0.736,0.753,5
TUR,NA,NA,NA,NA,NA,NA,NA,NA,0.689,0.554,0.607,0.235,0.669,0.76,0.586,18
POL,NA,NA,NA,NA,NA,NA,NA,NA,0.627,0.598,0.667,0.502,0.615,0.415,0.571,20
MEX,NA,NA,NA,NA,NA,NA,NA,NA,0.658,0.473,0.638,0.466,0.479,0.501,0.536,25
HUN,NA,NA,NA,NA,NA,NA,NA,NA,0.593,0.677,0.413,0.456,0.432,0.374,0.491,30
CRI,NA,NA,NA,NA,NA,NA,NA,NA,0.283,0.317,0.118,0.288,0.321,0.019,0.224,33
